numeric_code,jp_code,prefecture_name
1,JP01,北海道
2,JP02,青森県
3,JP03,岩手県
4,JP04,宮城県
5,JP05,秋田県
6,JP06,山形県
7,JP07,福島県
8,JP08,茨城県
9,JP09,栃木県
10,JP10,群馬県
11,JP11,埼玉県
12,JP12,千葉県
13,JP13,東京都
14,JP14,神奈川県
15,JP15,新潟県
16,JP16,富山県
17,JP17,石川県
18,JP18,福井県
19,JP19,山梨県
20,JP20,長野県
21,JP21,岐阜県
22,JP22,静岡県
23,JP23,愛知県
24,JP24,三重県
25,JP25,滋賀県
26,JP26,京都府
27,JP27,大阪府
28,JP28,兵庫県
29,JP29,奈良県
30,JP30,和歌山県
31,JP31,鳥取県
32,JP32,島根県
33,JP33,岡山県
34,JP34,広島県
35,JP35,山口県
36,JP36,徳島県
37,JP37,香川県
38,JP38,愛媛県
39,JP39,高知県
40,JP40,福岡県
41,JP41,佐賀県
42,JP42,長崎県
43,JP43,熊本県
44,JP44,大分県
45,JP45,宮崎県
46,JP46,鹿児島県
47,JP47,沖縄県
